q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
20.8,40,14.81568,39.661536,6.7,31.68234957,0.18
20.8,40,15.13952,15.64301009,6.3,30.30156243,0.18
20.8,40,15.22048,7.797403983,6.2,29.11342912,0.18
0,40,0,1.164359809,6.5,26.45778556,0.18
20.8,40,14.81568,0,6.7,28.01808215,0.18
20.8,40,14.73472,0,6.8,28.2567027,0.18
20.8,40,14.24896,0,7.4,28.8370904,0.18
20.8,40,13.92512,0,7.8,29.35750215,0.18
0,40,0,0,8.3,27.29613014,0.25
0,40,0,0,8.1,26.78273695,0.25
0,40,0,0,8,26.57550975,0.25
0,40,0,0,8.6,26.97286972,0.25
0,40,0,0,8.2,26.7940939,0.25
0,40,0,0,7.7,26.34351369,0.25
0,40,0,0,7.3,25.89129613,0.25
0,40,0,0,7,25.67971997,0.25
0,40,0,0,7,25.58547195,0.25
0,40,0,0,6.7,25.35046385,0.25
20.8,40,14.89664,0,6.6,27.63185355,0.25
20.8,40,14.9776,0,6.5,28.01448782,0.25
20.8,40,15.22048,19.73254478,6.2,28.61639413,0.25
20.8,40,16.75872,64.52033143,4.3,29.13494133,0.25
0,40,0,37.2525086,5.5,27.42919421,0.25
20.8,40,16.75872,21.94857011,4.3,27.62273983,0.18
20.8,40,15.3824,20.76073464,6,28.42655989,0.18
20.8,40,15.30144,16.03621942,6.1,28.39502273,0.18
20.8,40,15.3824,8.188837099,6,28.33542965,0.18
0,40,0,1.553134602,5.8,26.15688179,0.18
20.8,40,16.35392,0,4.8,26.92151554,0.18
20.8,40,16.5968,0,4.5,27.73838005,0.18
20.8,40,17.16352,0,3.8,30.71609573,0.18
20.8,40,17.32544,0,3.6,31.57465768,0.25
0,40,0,0,3.1,30.25270349,0.25
0,40,0,0,2.9,33.04784159,0.25
0,40,0,0,2.8,30.4394175,0.25
0,40,0,0,2.9,28.03610873,0.25
0,40,0,0,3.7,24.944088,0.25
0,40,0,0,3.6,23.96327849,0.25
0,40,0,0,3.4,23.05712512,0.25
0,40,0,0,3.7,22.94584036,0.25
0,40,0,0,2.8,22.50759424,0.25
0,40,0,0,2,21.82507892,0.25
20.8,40,18.05408,0,2.7,22.98892558,0.25
20.8,40,17.16352,0,3.8,24.18055133,0.25
20.8,40,17.32544,28.74812347,3.6,25.64087551,0.25
20.8,40,16.92064,72.80747342,4.1,27.83419857,0.25
0,40,0,106.3351078,5.1,28.76467188,0.18
20.8,40,17.24448,114.0761464,3.7,28.98586427,0.18
20.8,40,17.8112,61.76056925,3,26.87364897,0.18
20.8,40,16.83968,89.35330805,4.2,28.84693034,0.18
20.8,40,17.24448,62.18189336,3.7,28.69931817,0.18
0,40,0,5.849833194,2.8,25.01876815,0.18
20.8,40,17.08256,0,3.9,25.15419961,0.18
20.8,40,17.56832,0,3.3,24.2621064,0.18
20.8,40,17.4064,0,3.5,24.31039604,0.25
20.8,40,17.16352,0,3.8,24.63620005,0.25
0,40,0,0,3.5,23.32840562,0.25
0,40,0,0,3.3,23.01648774,0.25
0,40,0,0,4,22.90318643,0.25
0,40,0,0,3.6,22.77225706,0.25
0,40,0,0,3.5,22.49044637,0.25
0,40,0,0,4.8,23.32335822,0.25
0,40,0,0,5.2,23.84825179,0.25
0,40,0,0,4.7,23.25800954,0.25
0,40,0,0,5.3,23.73376584,0.25
0,40,0,0,5.1,23.53585553,0.25
20.8,40,15.86816,0,5.4,25.65136991,0.25
20.8,40,16.43488,0,4.7,25.55502391,0.25
20.8,40,16.51584,25.96966477,4.6,26.63341653,0.25
20.8,40,16.35392,59.62256337,4.8,29.22649256,0.18
0,40,0,60.9024798,5.5,29.83166282,0.18
20.8,40,17.64928,43.47638536,3.2,28.46749202,0.18
20.8,40,17.16352,99.48942402,3.8,30.9874682,0.18
20.8,40,16.67776,100.9382846,4.4,32.66563352,0.18
20.8,40,16.5968,68.06074335,4.5,31.5342818,0.18
0,40,0,6.634150126,3,26.68447903,0.18
20.8,40,18.6208,0,2,25.314135,0.18
20.8,40,18.86368,0,1.7,24.41164451,0.25
20.8,40,19.4304,0,1,23.7300748,0.25
20.8,40,18.78272,0,1.8,24.18678909,0.25
0,40,0,0,1.7,24.71380521,0.25
0,40,0,0,1.6,24.70221629,0.25
0,40,0,0,2.2,25.46680472,0.25
0,40,0,0,0.9,24.28512299,0.25
0,40,0,0,0.8,23.20497724,0.25
0,40,0,0,1.5,23.10022241,0.25
0,40,0,0,1.6,24.32018995,0.25
0,40,0,0,2.3,26.19919107,0.25
0,40,0,0,1.5,26.08425072,0.25
0,40,0,0,1.7,25.40256204,0.25
20.8,40,17.16352,0,3.8,26.83048057,0.25
20.8,40,17.4064,0,3.5,27.29066448,0.25
20.8,40,17.24448,3.967069228,3.7,28.37268683,0.18
20.8,40,16.67776,12.12955507,4.4,29.62313036,0.18
0,40,0,38.6313666,5.4,29.86363819,0.18
20.8,40,15.62528,22.74589519,5.7,32.02280994,0.18
20.8,40,15.54432,21.94326602,5.8,31.13973345,0.18
20.8,40,15.62528,16.82244138,5.7,31.22151556,0.18
20.8,40,15.70624,16.8393648,5.6,31.22643661,0.18
0,40,0,1.94217591,5.1,28.03851373,0.18
20.8,40,16.27296,0,4.9,28.55459771,0.25
20.8,40,16.192,0,5,28.60916599,0.25
20.8,40,16.11104,0,5.1,28.69017157,0.25
20.8,40,16.43488,0,4.7,28.65447415,0.25
0,40,0,0,4.7,26.64415789,0.25
0,40,0,0,4.8,25.74072929,0.25
0,40,0,0,4.8,25.60496589,0.25
0,40,0,0,4.8,26.04171623,0.25
