q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
0,40,0,0,-7.9,25.81144037,0.18
0,40,0,0,-8.4,25.70321513,0.18
20.8,40,26.312,0,-7.5,22.1980812,0.18
20.8,40,24.44992,16.59075624,-5.2,24.0311452,0.25
20.8,40,22.50688,87.40688852,-2.8,30.35818191,0.25
20.8,40,21.13056,139.0436345,-1.1,39.62861548,0.25
0,40,0,164.6110247,-0.2,42.79908618,0.25
20.8,40,19.10656,165.7840136,1.4,45.52486783,0.25
20.8,40,18.05408,148.2647068,2.7,43.49496408,0.25
20.8,40,18.86368,67.36810982,1.7,36.46156983,0.25
20.8,40,19.0256,44.86564269,1.5,33.18406355,0.25
0,40,0,21.6447446,2,28.58252863,0.25
20.8,40,18.6208,1.935011281,2,26.33725285,0.25
20.8,40,18.86368,0,1.7,24.37488336,0.25
20.8,40,19.18752,0,1.3,23.24312255,0.25
20.8,40,19.67328,0,0.7,21.70148437,0.25
0,40,0,0,0.6,20.89639765,0.25
0,40,0,0,0.6,20.70503101,0.25
0,40,0,0,0.7,20.71756373,0.18
0,40,0,0,1,20.91497013,0.18
0,40,0,0,1,20.998606,0.18
0,40,0,0,1.1,21.37557925,0.18
0,40,0,0,1,21.4839629,0.18
0,40,0,0,1.1,21.96834674,0.18
0,40,0,0,1.3,22.87282181,0.18
0,40,0,0,1.1,25.77055894,0.18
20.8,40,19.51136,0,0.9,28.36869714,0.25
20.8,40,19.26848,3.084699281,1.2,28.04678545,0.25
20.8,40,19.0256,13.95843667,1.5,27.38826231,0.25
20.8,40,19.0256,25.30445604,1.5,27.8230981,0.25
0,40,0,33.88397987,1.7,28.08770536,0.25
20.8,40,18.29696,38.08015987,2.4,30.08452906,0.25
20.8,40,17.64928,71.81944883,3.2,32.38551908,0.25
20.8,40,16.92064,32.51498358,4.1,30.88930369,0.25
20.8,40,17.0016,23.42980014,4,29.46405318,0.25
0,40,0,11.67175939,3.7,26.59745162,0.25
20.8,40,17.64928,1.935031482,3.2,26.11068358,0.25
20.8,40,17.56832,0,3.3,25.38859446,0.25
20.8,40,17.56832,0,3.3,25.09414426,0.25
20.8,40,17.64928,0,3.2,24.90517587,0.25
0,40,0,0,4,24.11526459,0.25
0,40,0,0,4.5,24.12354784,0.18
0,40,0,0,5.1,24.53581457,0.18
0,40,0,0,5.1,24.37317894,0.18
0,40,0,0,5.5,24.44463085,0.18
0,40,0,0,5.9,24.85992743,0.18
0,40,0,0,6,24.9573021,0.18
0,40,0,0,6.2,25.11419383,0.18
0,40,0,0,6.3,25.23465225,0.18
0,40,0,0,6.6,25.37353467,0.25
20.8,40,15.13952,0,6.3,27.73984156,0.25
20.8,40,15.13952,22.04051632,6.3,28.93170996,0.25
20.8,40,15.05856,31.58691758,6.4,29.32922911,0.25
20.8,40,15.05856,122.7334253,6.4,32.42169722,0.25
0,40,0,161.5845425,6.7,32.00598387,0.25
20.8,40,14.9776,168.7123432,6.5,33.94221352,0.25
20.8,40,14.9776,155.107816,6.5,34.65648017,0.25
20.8,40,15.05856,156.1920407,6.4,35.22700098,0.25
20.8,40,15.3824,133.8931234,6,33.87308647,0.25
0,40,0,85.4810045,5.9,30.13061894,0.25
20.8,40,15.7872,8.561303265,5.5,28.41667996,0.25
20.8,40,15.46336,0,5.9,27.59064935,0.25
20.8,40,15.22048,0,6.2,27.52808922,0.25
20.8,40,15.3824,0,6,27.29002455,0.25
0,40,0,0,6.1,25.08133853,0.18
0,40,0,0,5.7,24.28810889,0.18
0,40,0,0,5.7,24.14424704,0.18
0,40,0,0,5.4,23.90454407,0.18
0,40,0,0,5.4,23.89240995,0.18
0,40,0,0,1.5,21.60611546,0.18
0,40,0,0,2.8,21.33424559,0.18
0,40,0,0,2.9,21.43754498,0.18
0,40,0,0,1.7,20.93665195,0.25
0,40,0,0,0.4,19.88157998,0.25
20.8,40,19.67328,0,0.7,19.94546247,0.25
20.8,40,19.59232,23.13770028,0.8,20.6358592,0.25
20.8,40,18.78272,90.50741708,1.8,24.60976482,0.25
20.8,40,18.13504,135.5481293,2.6,28.81456618,0.25
0,40,0,160.3369202,3,30.39323051,0.25
20.8,40,18.94464,152.4419427,1.6,30.49174035,0.25
20.8,40,17.32544,128.2988332,3.6,30.42383319,0.25
20.8,40,17.56832,122.8148349,3.3,30.26778253,0.25
20.8,40,17.08256,136.8245159,3.9,31.83452849,0.25
0,40,0,60.21689941,3.6,27.25757688,0.25
20.8,40,17.64928,7.385598486,3.2,25.35236852,0.25
20.8,40,18.78272,0,1.8,22.67428384,0.25
20.8,40,17.97312,0,2.8,23.21373426,0.25
20.8,40,17.73024,0,3.1,24.15309778,0.18
0,40,0,0,3,23.26308011,0.18
0,40,0,0,3.2,23.87610046,0.18
0,40,0,0,3.3,24.27869103,0.18
0,40,0,0,2.9,23.79550726,0.18
0,40,0,0,2.4,24.26614106,0.18
0,40,0,0,1.5,26.78527243,0.18
0,40,0,0,1.9,26.77022202,0.18
0,40,0,0,1.9,26.57933206,0.25
0,40,0,0,1.8,25.31643428,0.25
0,40,0,0,2.1,25.78495057,0.25
20.8,40,18.53984,0,2.1,28.98415386,0.25
20.8,40,18.29696,3.471117885,2.4,29.27255501,0.25
20.8,40,17.8112,15.55533077,3,30.69416587,0.25
20.8,40,17.0016,54.01364933,4,35.56412326,0.25
0,40,0,69.10340069,4.8,38.42818373,0.25
20.8,40,15.86816,75.8795392,5.4,40.43417039,0.25
20.8,40,16.03008,75.11838186,5.2,38.65987027,0.25
20.8,40,16.03008,34.09279511,5.2,35.21194249,0.25
20.8,40,15.70624,25.00324085,5.6,33.4105591,0.25
0,40,0,12.84442594,5.6,29.90837066,0.25
20.8,40,15.86816,2.710842282,5.4,30.02177265,0.25
20.8,40,16.11104,0,5.1,29.33499884,0.25
20.8,40,15.94912,0,5.3,29.19255244,0.18
20.8,40,15.3824,0,6,30.38650649,0.18
0,40,0,0,7.5,28.98361864,0.18
0,40,0,0,7.6,28.41598843,0.18
0,40,0,0,7.5,28.56778791,0.18
0,40,0,0,7.5,27.94136323,0.18
0,40,0,0,7.7,28.08374009,0.18
0,40,0,0,7.6,28.11761876,0.18
0,40,0,0,7.7,28.57933909,0.25
0,40,0,0,7.5,27.95839452,0.25
0,40,0,0,7.7,27.79784666,0.25
0,40,0,0,8.2,28.06177531,0.25
20.8,40,13.60128,0,8.2,30.50693132,0.25
20.8,40,13.60128,4.239007933,8.2,30.79212319,0.25
20.8,40,13.19648,15.46627377,8.7,31.70247301,0.25
20.8,40,12.9536,27.27000388,9,32.91699519,0.25
0,40,0,35.85303921,9,30.44522998,0.25
20.8,40,12.9536,40.03708602,9,33.07259042,0.25
20.8,40,12.87264,39.53369433,9.1,33.71538595,0.25
20.8,40,12.62976,34.48582529,9.4,34.22854981,0.25
20.8,40,12.71072,25.00290635,9.3,33.70185863,0.25
0,40,0,13.23548017,9.1,30.56059702,0.25
20.8,40,13.03456,2.710862442,8.9,32.28379184,0.25
20.8,40,13.43936,0,8.4,32.22434926,0.18
20.8,40,13.84416,0,7.9,32.52134751,0.18
20.8,40,14.168,0,7.5,33.04299117,0.18
0,40,0,0,6.2,31.06385792,0.18
0,40,0,0,4.5,29.96399621,0.18
0,40,0,0,4.1,29.24462549,0.18
0,40,0,0,4.9,29.2411228,0.18
0,40,0,0,4.2,28.97362822,0.18
0,40,0,0,4.3,27.76086712,0.25
0,40,0,0,4.5,26.09258391,0.25
0,40,0,0,4.9,26.03313652,0.25
0,40,0,0,4.7,25.97729459,0.25
0,40,0,0,4.9,26.06493561,0.25
20.8,40,17.64928,0,3.2,26.41038536,0.25
20.8,40,16.43488,30.60526894,4.7,29.44111132,0.25
20.8,40,15.22048,34.84825122,6.2,32.37058496,0.25
20.8,40,14.5728,55.84517167,7,33.86916493,0.25
0,40,0,71.09303975,7.7,32.48115831,0.25
20.8,40,14.49184,77.86959606,7.1,34.65008143,0.25
20.8,40,14.41088,77.1021062,7.2,35.18345335,0.25
20.8,40,14.41088,67.79094541,7.2,34.37699093,0.25
20.8,40,14.65376,50.35798231,6.9,33.05762981,0.25
0,40,0,26.53011037,6.3,29.24561246,0.25
20.8,40,15.70624,5.432462387,5.6,29.10723581,0.18
20.8,40,15.86816,0,5.4,28.07341776,0.18
20.8,40,15.7872,0,5.5,28.02302781,0.18
20.8,40,15.94912,0,5.3,27.8515664,0.18
0,40,0,0,5.4,26.28092397,0.18
0,40,0,0,5.7,25.6492077,0.18
0,40,0,0,5.9,26.45124786,0.18
0,40,0,0,5.9,26.16853517,0.18
0,40,0,0,6.1,26.13834867,0.25
0,40,0,0,5.9,25.59006218,0.25
0,40,0,0,5.9,25.55993654,0.25
0,40,0,0,5.8,25.32165727,0.25
0,40,0,0,5.9,25.29550094,0.25
0,40,0,0,6,25.35830518,0.25
20.8,40,15.3824,0,6,27.44507097,0.25
20.8,40,15.22048,4.525987095,6.2,28.47509947,0.25
20.8,40,15.13952,16.67707788,6.3,29.42944896,0.25
20.8,40,15.54432,28.46058714,5.8,29.81601802,0.25
0,40,0,37.44195866,5.4,28.09153137,0.25
20.8,40,15.86816,41.61125538,5.4,30.89585725,0.25
20.8,40,14.49184,77.82326163,7.1,32.55921684,0.25
20.8,40,14.65376,68.40980545,6.9,32.4692058,0.25
20.8,40,14.32992,51.15589436,7.3,32.1845759,0.25
0,40,0,27.34061485,7.1,28.66660156,0.18
20.8,40,14.89664,22.0292746,6.6,29.3028893,0.18
20.8,40,15.54432,0,5.8,27.79248328,0.18
20.8,40,15.05856,0,6.4,28.28204807,0.18
20.8,40,16.92064,0,4.1,25.79898317,0.18
0,40,0,0,5,24.54653359,0.18
0,40,0,0,5,23.93394146,0.18
0,40,0,0,5,23.61177038,0.18
0,40,0,0,4.5,23.32274605,0.25
0,40,0,0,4.5,23.02427407,0.25
0,40,0,0,3.9,22.64708809,0.25
0,40,0,0,3,21.988136,0.25
0,40,0,0,2.8,21.83355884,0.25
0,40,0,0,3.3,22.03361243,0.25
0,40,0,0,3.7,22.47791875,0.25
20.8,40,17.24448,0,3.7,24.09538835,0.25
20.8,40,17.0016,19.16326899,4,25.008533,0.25
20.8,40,18.53984,36.73565619,2.1,23.92522515,0.25
20.8,40,17.0016,58.23854406,4,26.36424907,0.25
0,40,0,73.44618991,3.5,26.03328636,0.25
20.8,40,17.73024,80.5491212,3.1,27.34411546,0.25
20.8,40,16.51584,109.9117345,4.6,29.15891511,0.25
20.8,40,15.94912,130.6798697,5.3,30.97242457,0.25
20.8,40,16.92064,79.51533485,4.1,28.5707345,0.18
0,40,0,28.57640093,3.8,25.19336698,0.18
20.8,40,17.56832,6.211245541,3.3,24.30715476,0.18
20.8,40,17.73024,0,3.1,23.37207953,0.18
20.8,40,17.24448,0,3.7,24.04528629,0.18
20.8,40,16.5968,0,4.5,24.6538327,0.18
0,40,0,0,3.3,22.84121453,0.18
0,40,0,0,3.1,22.079983,0.18
0,40,0,0,3.5,22.44565943,0.25
0,40,0,0,1.8,21.11873127,0.25
0,40,0,0,3.1,21.83730473,0.25
0,40,0,0,4.2,22.67131845,0.25
0,40,0,0,3.3,22.56459103,0.25
0,40,0,0,2.8,21.83181776,0.25
0,40,0,0,4,22.49332414,0.25
0,40,0,0,3.5,22.50841445,0.25
20.8,40,17.8112,0.384858874,3,23.4299014,0.25
20.8,40,17.73024,12.83976745,3.1,24.14994437,0.25
20.8,40,16.27296,62.02516356,4.9,28.6782629,0.25
20.8,40,15.30144,115.8574976,6.1,33.23341683,0.25
0,40,0,156.1252369,6.3,34.43452848,0.25
20.8,40,15.05856,162.0047429,6.4,36.84962322,0.25
20.8,40,15.86816,111.1366251,5.4,34.48412239,0.25
20.8,40,15.22048,132.3157082,6.2,35.77526313,0.18
20.8,40,15.22048,131.7144927,6.2,36.28686318,0.18
0,40,0,69.7457376,5.6,31.99087811,0.18
20.8,40,16.03008,6.600804744,5.2,29.44649873,0.18
20.8,40,16.83968,0,4.2,27.29822137,0.18
20.8,40,16.5968,0,4.5,26.56780695,0.18
20.8,40,16.67776,0,4.4,26.49201317,0.18
0,40,0,0,3.6,24.40917166,0.18
0,40,0,0,3.9,24.32753309,0.25
0,40,0,0,3.5,24.55374677,0.25
0,40,0,0,2.3,24.6225091,0.25
0,40,0,0,1.9,23.79503303,0.25
0,40,0,0,0.6,23.31403181,0.25
0,40,0,0,0.4,22.99905036,0.25
0,40,0,0,0.6,23.90625598,0.25
0,40,0,0,0.3,23.31570161,0.25
0,40,0,0,0.9,25.85405389,0.25
20.8,40,18.94464,0.384892359,1.6,26.93422907,0.25
20.8,40,18.78272,13.84106669,1.8,30.79657875,0.25
20.8,40,17.32544,78.13243654,3.6,42.01134068,0.25
20.8,40,16.5968,145.1724976,4.5,57.95181213,0.25
0,40,0,172.0134881,6,55.24206725,0.25
20.8,40,16.03008,146.442285,5.2,49.75425372,0.25
20.8,40,15.86816,154.8533833,5.4,47.40846927,0.18
20.8,40,15.62528,150.9095944,5.7,44.462738,0.18
20.8,40,16.75872,113.1758592,4.3,41.67077536,0.18
0,40,0,65.46753007,4.5,36.17439921,0.18
20.8,40,16.51584,12.80625905,4.6,32.58348279,0.18
20.8,40,17.48736,0,3.4,28.83804144,0.18
20.8,40,19.18752,0,1.3,26.20508568,0.18
20.8,40,19.18752,0,1.3,26.25632786,0.18
0,40,0,0,0.9,27.55884609,0.25
0,40,0,0,0.9,26.6524795,0.25
0,40,0,0,-0.1,27.68649513,0.25
0,40,0,0,-0.1,29.5468604,0.25
0,40,0,0,-0.3,29.78927456,0.25
0,40,0,0,-0.6,29.69488831,0.25
0,40,0,0,-0.6,27.04030625,0.25
0,40,0,0,-0.9,23.99518142,0.25
0,40,0,0,-0.4,22.76120449,0.25
0,40,0,0,-0.1,22.42874881,0.25
20.8,40,19.34944,0.769852615,1.1,22.98440735,0.25
20.8,40,19.0256,19.47275199,1.5,24.61731344,0.25
20.8,40,18.37792,39.71728728,2.3,26.55414799,0.25
20.8,40,17.8112,61.69761067,3,29.11597677,0.25
0,40,0,77.06088435,4.1,29.63417798,0.25
20.8,40,15.46336,83.21903589,5.9,32.77786318,0.18
20.8,40,15.7872,82.42437842,5.5,32.17227362,0.18
20.8,40,15.62528,38.03399589,5.7,30.11720807,0.18
20.8,40,15.94912,28.54427058,5.3,28.90574715,0.18
0,40,0,16.36709186,5.3,26.25110225,0.18
20.8,40,15.94912,3.875971797,5.3,27.15401518,0.18
20.8,40,15.86816,0,5.4,27.04181473,0.18
20.8,40,15.7872,0,5.5,27.06339326,0.18
20.8,40,15.62528,0,5.7,27.42435849,0.25
0,40,0,0,6,25.62791583,0.25
0,40,0,0,6.1,25.33476558,0.25
0,40,0,0,5.9,25.15056982,0.25
0,40,0,0,5.7,24.95937142,0.25
0,40,0,0,6.2,25.22453264,0.25
0,40,0,0,6.5,25.52710339,0.25
0,40,0,0,6.8,25.82915612,0.25
0,40,0,0,7,26.06378019,0.25
0,40,0,0,7.1,26.08612344,0.25
0,40,0,0,7.2,26.27429326,0.25
20.8,40,14.24896,0.384960707,7.4,28.96717499,0.25
20.8,40,14.00608,6.480717149,7.7,30.25678018,0.25
20.8,40,13.92512,19.44821211,7.8,31.26550582,0.25
20.8,40,13.7632,31.21690201,8,31.99761023,0.25
0,40,0,40.18603279,7.8,29.76995066,0.18
20.8,40,13.52032,44.3486149,8.3,32.90775629,0.18
20.8,40,13.84416,43.83214709,7.9,32.97264173,0.18
20.8,40,14.00608,38.42641513,7.7,32.52205949,0.18
20.8,40,13.60128,28.93953448,8.2,32.76896869,0.18
0,40,0,16.7588415,7.8,29.36284815,0.18
20.8,40,14.00608,4.264621274,7.7,30.77043361,0.18
20.8,40,14.00608,0,7.7,31.05550856,0.18
20.8,40,14.168,0,7.5,30.66260768,0.25
20.8,40,14.168,0,7.5,30.7681643,0.25
0,40,0,0,7.4,28.2013802,0.25
0,40,0,0,7.1,27.44400083,0.25
0,40,0,0,5.6,25.83054477,0.25
0,40,0,0,5.5,25.58539756,0.25
0,40,0,0,5.4,25.48494344,0.25
0,40,0,0,5.5,25.8025877,0.25
0,40,0,0,5.6,25.7144108,0.25
0,40,0,0,5.4,25.83793198,0.25
0,40,0,0,5.2,25.23274335,0.25
0,40,0,0,5.1,25.15002606,0.25
20.8,40,16.11104,0.384995543,5.1,26.9722747,0.25
20.8,40,16.03008,6.860440131,5.2,27.50333419,0.25
20.8,40,15.7872,19.82206361,5.5,28.49586584,0.25
20.8,40,15.3824,32.01711672,6,29.8659612,0.18
0,40,0,40.5723446,6.2,28.4210094,0.18
20.8,40,14.9776,45.13330864,6.5,31.1565419,0.18
20.8,40,14.65376,44.22228673,6.9,33.33951462,0.18
20.8,40,14.5728,39.21533035,7,33.36725505,0.18
20.8,40,14.24896,29.33549868,7.4,33.17959688,0.18
0,40,0,17.15067018,7.6,30.52871567,0.18
20.8,40,14.168,8.550567647,7.5,31.98657438,0.18
20.8,40,14.41088,0,7.2,31.45362767,0.25
20.8,40,14.81568,0,6.7,30.71320625,0.25
20.8,40,15.22048,0,6.2,29.61898565,0.25
0,40,0,0,6,27.67256506,0.25
0,40,0,0,5.9,26.85056627,0.25
0,40,0,0,5.9,26.56505321,0.25
0,40,0,0,6,25.99087256,0.25
0,40,0,0,5.7,25.57954821,0.25
0,40,0,0,6,25.44519644,0.25
0,40,0,0,5.8,25.45876224,0.25
0,40,0,0,5.6,25.34263241,0.25
0,40,0,0,5.6,25.29520617,0.25
0,40,0,0,5.2,24.83908805,0.25
20.8,40,16.03008,1.925154011,5.2,27.00409357,0.25
20.8,40,15.46336,49.82185609,5.9,30.52229069,0.25
20.8,40,14.5728,100.68117,7,34.63286332,0.18
20.8,40,13.92512,152.3224014,7.8,37.61640558,0.18
0,40,0,185.405346,8.6,37.7202883,0.18
20.8,40,12.9536,181.9469582,9,41.18994577,0.18
20.8,40,12.87264,85.18885432,9.1,38.00454574,0.18
20.8,40,12.30592,149.7311446,9.8,40.26250016,0.18
20.8,40,12.22496,160.3444231,9.9,40.02731196,0.18
0,40,0,117.3274841,9.4,35.01090226,0.18
20.8,40,13.11552,22.72273138,8.8,33.28156062,0.25
20.8,40,13.3584,0,8.5,31.43584758,0.25
20.8,40,13.27744,0,8.6,30.87478123,0.25
20.8,40,13.19648,0,8.7,30.67802496,0.25
0,40,0,0,8.8,27.95088131,0.25
0,40,0,0,8.9,27.33251205,0.25
0,40,0,0,9.2,27.51475362,0.25
0,40,0,0,9.5,27.97116705,0.25
0,40,0,0,9.8,28.43469447,0.25
0,40,0,0,10,28.63226046,0.25
0,40,0,0,10.1,28.94315682,0.25
0,40,0,0,10.1,28.94544612,0.25
0,40,0,0,10.1,28.76959186,0.25
0,40,0,0,9.6,28.44458666,0.25
20.8,40,12.38688,0.379306471,9.7,31.65843212,0.25
20.8,40,12.46784,18.50408205,9.6,32.98806284,0.18
20.8,40,12.144,68.09912921,10,34.77652641,0.18
20.8,40,11.90112,144.7277957,10.3,38.03190424,0.18
0,40,0,186.8120932,10.7,37.51089064,0.18
20.8,40,10.9296,186.2155474,11.5,41.07798792,0.18
20.8,40,11.25344,84.43542794,11.1,38.79724892,0.18
20.8,40,11.57728,39.80274533,10.7,36.67502522,0.18
20.8,40,13.03456,61.42494418,8.9,34.47958873,0.18
0,40,0,34.31434127,8,29.30938289,0.25
20.8,40,14.49184,9.577831189,7.1,29.41017386,0.25
20.8,40,14.9776,0,6.5,28.36687505,0.25
20.8,40,15.13952,0,6.3,27.7467992,0.25
20.8,40,15.3824,0,6,27.43794269,0.25
0,40,0,0,5.9,25.29695794,0.25
0,40,0,0,5.8,24.89142681,0.25
0,40,0,0,6,24.84104796,0.25
0,40,0,0,5.1,24.46219166,0.25
0,40,0,0,5,24.37331775,0.25
0,40,0,0,5.3,24.57796137,0.25
0,40,0,0,5,24.60751813,0.25
0,40,0,0,4.2,24.38175608,0.25
0,40,0,0,3.9,24.10002684,0.25
0,40,0,0,4.3,24.01015708,0.25
20.8,40,16.5968,2.655397738,4.5,25.638297,0.18
20.8,40,15.94912,58.57761057,5.3,28.68520971,0.18
20.8,40,15.22048,119.6444961,6.2,32.42759106,0.18
20.8,40,14.49184,166.9903287,7.1,36.16935736,0.18
0,40,0,189.8045418,7.6,35.53839734,0.18
20.8,40,13.84416,192.2176004,7.9,37.91946776,0.18
20.8,40,13.7632,180.0548503,8,38.72085859,0.18
20.8,40,13.60128,184.7466466,8.2,39.17038133,0.18
20.8,40,13.60128,166.8961512,8.2,38.70965218,0.25
0,40,0,111.0716292,7.7,34.09372354,0.25
20.8,40,14.5728,10.34784495,7,31.73437326,0.25
20.8,40,15.05856,0.761476524,6.4,29.6070068,0.25
20.8,40,15.86816,0,5.4,28.76269987,0.25
20.8,40,16.192,0,5,27.83274961,0.25
0,40,0,0,7.3,26.50264945,0.25
0,40,0,0,6.9,25.94278001,0.25
0,40,0,0,6.5,25.74487629,0.25
0,40,0,0,6.5,25.56579811,0.25
0,40,0,0,6.9,25.58749994,0.25
0,40,0,0,6.8,25.53067057,0.25
0,40,0,0,6.9,25.50270252,0.25
0,40,0,0,7.4,25.77748047,0.25
0,40,0,0,7.9,26.28146601,0.25
0,40,0,0,9.1,27.16143601,0.18
20.8,40,12.144,0.758757954,10,31.12309067,0.18
20.8,40,13.60128,8.744737859,8.2,30.96496497,0.18
20.8,40,14.168,21.87562209,7.5,30.62170433,0.18
20.8,40,14.32992,33.87782872,7.3,30.93793634,0.18
0,40,0,42.69484911,7.7,29.0021562,0.18
20.8,40,13.43936,46.78009213,8.4,32.03659375,0.18
20.8,40,13.03456,46.26267629,8.9,32.68052297,0.18
20.8,40,13.3584,79.86926529,8.5,33.54447257,0.25
20.8,40,12.9536,60.8381343,9,34.02259323,0.25
0,40,0,35.89571931,8.6,29.46454711,0.25
20.8,40,13.27744,11.11826144,8.6,30.54421203,0.25
20.8,40,13.27744,0.380441166,8.6,30.60084156,0.25
20.8,40,14.00608,0,7.7,29.68177736,0.25
20.8,40,14.49184,0,7.1,28.99425559,0.25
0,40,0,0,6.8,26.25228044,0.25
0,40,0,0,6.4,25.39032528,0.25
0,40,0,0,7,25.56056417,0.25
0,40,0,0,6.5,25.31964752,0.25
0,40,0,0,6.3,25.09615881,0.25
0,40,0,0,6.1,24.97955972,0.25
0,40,0,0,5.7,24.67309715,0.25
0,40,0,0,5.7,24.47994009,0.25
0,40,0,0,5.8,24.57933057,0.18
0,40,0,0,5.9,24.68723155,0.18
20.8,40,15.30144,0.75883157,6.1,26.94144624,0.18
20.8,40,15.62528,22.06353183,5.7,27.73022785,0.18
20.8,40,15.54432,22.67391109,5.8,28.24930606,0.18
20.8,40,15.86816,34.67477705,5.4,28.43647324,0.18
0,40,0,43.4721274,5,26.69085726,0.18
20.8,40,16.03008,47.55152722,5.2,28.41447742,0.18
20.8,40,15.62528,46.64680737,5.7,29.85528082,0.25
20.8,40,15.22048,41.35174735,6.2,30.59045902,0.25
20.8,40,15.05856,32.03626543,6.4,31.39105887,0.25
0,40,0,37.04884469,6.4,29.70923762,0.25
20.8,40,15.3824,11.88906079,6,30.22391016,0.25
20.8,40,16.192,0.380452235,5,28.5753363,0.25
20.8,40,17.0016,0,4,27.61623203,0.25
20.8,40,18.05408,0,2.7,26.90880548,0.25
0,40,0,0,2.8,25.64317179,0.25
0,40,0,0,2.4,25.11118713,0.25
0,40,0,0,2.8,24.4833524,0.25
0,40,0,0,3,24.31428738,0.25
0,40,0,0,3.4,25.05261657,0.25
0,40,0,0,2.3,24.89371951,0.25
0,40,0,0,2.1,24.01470798,0.25
0,40,0,0,2.8,23.98325856,0.18
0,40,0,0,4.3,24.19995488,0.18
0,40,0,0,4.6,24.47789665,0.18
20.8,40,16.75872,3.794529429,4.3,26.48371069,0.18
20.8,40,16.11104,67.56597571,5.1,32.06549693,0.18
20.8,40,15.13952,126.0428294,6.3,37.77781913,0.18
20.8,40,14.9776,148.8085008,6.5,40.07174025,0.18
0,40,0,186.0090932,7,39.87432522,0.18
20.8,40,15.05856,197.2806299,6.4,41.98197278,0.25
20.8,40,14.5728,173.6600397,7,41.22883318,0.25
20.8,40,14.9776,146.2424333,6.5,39.8667464,0.25
20.8,40,14.73472,142.8771077,6.8,39.50887504,0.25
0,40,0,121.9028124,6.1,37.87789448,0.25
20.8,40,16.03008,49.00782739,5.2,35.11845844,0.25
20.8,40,17.32544,1.524811418,3.6,32.62786991,0.25
20.8,40,17.89216,0,2.9,30.78317559,0.25
20.8,40,18.45888,0,2.2,29.34673974,0.25
0,40,0,0,1.6,29.56243213,0.25
0,40,0,0,0,30.82089351,0.25
0,40,0,0,-0.3,27.88955046,0.25
0,40,0,0,0.1,26.16568099,0.25
0,40,0,0,-0.7,27.0842186,0.25
0,40,0,0,-1.5,27.6672622,0.25
0,40,0,0,-2,26.39006155,0.18
0,40,0,0,-2.5,26.66233167,0.18
0,40,0,0,-1.9,23.46952152,0.18
0,40,0,0,-1.8,23.67070105,0.18
20.8,40,21.53536,4.553885217,-1.6,22.20019199,0.18
20.8,40,20.96864,80.71849526,-0.9,27.44454336,0.18
20.8,40,19.75424,128.0002649,0.6,32.77473659,0.18
20.8,40,17.97312,172.025141,2.8,36.17750327,0.18
0,40,0,195.1171752,5.1,38.70109458,0.25
20.8,40,15.05856,197.5848123,6.4,41.6651445,0.25
20.8,40,14.81568,180.1553189,6.7,41.87446204,0.25
20.8,40,14.41088,168.0705428,7.2,41.77393619,0.25
20.8,40,14.5728,127.0387423,7,40.09315515,0.25
0,40,0,61.6422223,7.1,34.53995698,0.25
20.8,40,15.3824,13.04548372,6,33.11055919,0.25
20.8,40,16.67776,1.142824332,4.4,30.01841223,0.25
20.8,40,17.32544,0,3.6,27.3961648,0.25
20.8,40,17.64928,0,3.2,26.03856466,0.25
0,40,0,0,2.4,23.8628396,0.25
0,40,0,0,2.1,23.45802135,0.25
0,40,0,0,1.3,22.92248315,0.25
0,40,0,0,1.1,22.13470344,0.25
0,40,0,0,0.2,21.70464933,0.25
0,40,0,0,-0.7,21.02968205,0.18
0,40,0,0,0.6,20.76171503,0.18
0,40,0,0,-0.8,20.56717437,0.18
0,40,0,0,-1.5,20.09328068,0.18
0,40,0,0,-1.9,20.25515553,0.18
20.8,40,21.69728,5.313395429,-1.8,20.43412434,0.18
20.8,40,20.56384,73.00258628,-0.4,25.2844956,0.18
20.8,40,19.26848,131.5583472,1.2,31.02883721,0.18
20.8,40,17.97312,175.7584652,2.8,39.04585586,0.25
0,40,0,201.2359048,3.8,43.5428555,0.25
20.8,40,16.67776,203.3171981,4.4,43.36977431,0.25
20.8,40,16.192,190.5450516,5,44.27300131,0.25
20.8,40,16.192,192.5387726,5,43.17834089,0.25
20.8,40,15.7872,100.3155355,5.5,39.9255849,0.25
0,40,0,62.55268632,5.3,33.44575729,0.25
20.8,40,16.192,52.88821571,5,34.11840997,0.25
20.8,40,17.48736,1.906817921,3.4,29.81482147,0.25
20.8,40,18.70176,0,1.9,27.15062289,0.25
20.8,40,19.0256,0,1.5,25.7653408,0.25
0,40,0,0,1.2,25.36419477,0.25
0,40,0,0,1.1,25.42007312,0.25
0,40,0,0,0.9,25.39295175,0.25
0,40,0,0,-0.2,26.90403279,0.25
0,40,0,0,-0.7,27.87616206,0.18
0,40,0,0,-1.9,25.53349278,0.18
0,40,0,0,-2.1,27.08814909,0.18
0,40,0,0,-2.5,28.47800973,0.18
0,40,0,0,-2.5,28.29150028,0.18
0,40,0,0,-2.3,28.08795979,0.18
20.8,40,22.42592,5.693495361,-2.7,25.00975237,0.18
20.8,40,20.24,74.40256478,0,31.35836143,0.18
20.8,40,18.70176,132.9652409,1.9,41.71233879,0.25
